"metavariable"
"_max"
"_index"
"_anomalyScore"
"_approxcount"
"_min"
"_count_distinct"
"_sourcename"
"_signature"
"_isNew"
"_raw"
"_rollingstd"
"_count_violation"
"_count_<N><T>"
"_X"
"_smooth"
"_timeslice_end"
"_messagetime"
"_avg"
"_sourcecategory"
"_source"
"_group"
"_sourcehost"
"_count"
"<field>_violation"
"_timeslice"
"_group_size"
"_group_duration"
"_<T>_<column>"
"_receipttime"
"_collector"
"_cluster_id"
"_count_error"
"_deltaPercentage"
"_diff"
"_budget"
"_total"
"_group_orphaned"
